Date_of_Case,Fee,FullName,CaseNumber,CaseKind,Location,Weather
2023/09/22,200.0,John Malcolm,case--8721,Civil,NEWYO,snowy
2023/02/12,250.0,Miguel Malcolm,case--3780,Family,NEWYO,cloudy
2023/04/26,250.0,Alan Kim,case--2663,Criminal,NEWY,rainy
2023/03/16,150.0,Lakshmi Ivanov,case--8702,Criminal,LOSA,snowy
2023/07/22,100.0,Jane Ivanov,case--1232,Criminal,BOSTO,rainy
2023/05/28,150.0,Nadia Okafor,case--5215,Family,HOUS,cloudy
2023/03/14,250.0,Oluwaseun Okafor,case--6631,Criminal,BOST,rainy
2023/06/17,150.0,Alan Nasser,case--1405,Civil,BOST,snowy
2023/08/13,100.0,Oluwaseun Kim,case--8816,Civil,LOSAN,cloudy
2023/07/20,150.0,Oluwaseun Brown,case--2665,Family,NEWYO,sunny
2023/05/16,100.0,Alan Patel,case--2874,Family,NEWYO,sunny
2023/07/15,100.0,Nadia Chatterjee,case--2037,Family,HOUST,rainy
2023/04/18,200.0,Dmitri Johnson,case--5402,Criminal,HOUS,snowy
2023/08/14,250.0,Chen Johnson,case--3569,Civil,BOST,sunny
